id,label,obsolete
"1","label.epg.feuilleRoute.etape.pour.initialisation","0"
"2","label.epg.feuilleRoute.etape.pour.avis","0"
"3","label.epg.feuilleRoute.etape.pour.avisCE","0"
"4","label.epg.feuilleRoute.etape.pour.attribution","0"
"5","label.epg.feuilleRoute.etape.pour.attributionSGG","0"
"6","label.epg.feuilleRoute.etape.pour.attributionSecteurParlementaire","0"
"7","label.epg.feuilleRoute.etape.pour.signature","0"
"8","label.epg.feuilleRoute.etape.pour.contreseing","0"
"9","label.epg.feuilleRoute.etape.pour.information","0"
"10","label.epg.feuilleRoute.etape.pour.impression","0"
"11","label.epg.feuilleRoute.etape.pour.bonATirer","0"
"12","label.epg.feuilleRoute.etape.pour.fournitureEpreuves","0"
"13","label.epg.feuilleRoute.etape.pour.publicationDILAJO","0"
"14","label.epg.feuilleRoute.etape.pour.publicationDILABO","0"
"15","label.epg.feuilleRoute.etape.pour.modification","0"
"16","label.epg.feuilleRoute.etape.pour.publicationBO","0"